Voltage,Current,Temperature,SOC,Health
12.55,-0.14,24.0,29,Needs Attention
12.04,0.5,32.5,97,Needs Attention
10.59,0.89,27.0,11,Critical
11.97,0.03,43.0,92,Critical
10.98,1.11,47.7,58,Critical
12.47,-0.73,33.2,80,Healthy
11.53,1.8,23.4,62,Needs Attention
10.93,-1.95,49.9,74,Critical
11.82,0.06,35.1,30,Needs Attention
12.27,0.19,45.1,70,Critical
11.46,-0.27,37.3,29,Critical
11.25,1.84,32.4,5,Critical
12.52,1.64,45.4,54,Critical
11.04,-1.04,42.9,42,Critical
10.9,-1.46,35.8,74,Critical
12.85,-1.92,44.0,74,Critical
12.6,1.25,43.3,83,Critical
11.33,-1.23,36.4,16,Critical
12.68,-0.02,28.4,86,Healthy
11.97,1.57,24.7,87,Needs Attention
11.91,-0.59,44.2,12,Critical
11.75,-1.96,39.8,14,Critical
12.26,0.38,22.4,15,Critical
12.83,-0.85,30.7,90,Healthy
12.34,0.07,24.9,61,Healthy
12.7,-0.05,48.0,46,Critical
12.72,1.59,41.1,9,Critical
12.1,-1.96,34.8,67,Needs Attention
12.51,0.12,29.1,97,Healthy
11.32,-1.21,34.3,54,Critical
10.63,-1.52,39.2,15,Critical
12.08,-1.8,26.4,77,Needs Attention
11.7,0.28,47.8,10,Critical
11.36,-0.33,27.2,81,Critical
12.82,0.52,29.4,71,Healthy
11.39,-0.5,33.7,35,Critical
11.34,-1.5,49.5,26,Critical
10.68,1.12,45.8,66,Critical
12.93,-0.89,31.9,5,Critical
10.59,0.44,46.4,9,Critical
10.68,0.66,23.7,98,Critical
11.92,-1.06,41.3,54,Needs Attention
12.02,-0.34,20.4,67,Needs Attention
12.55,-0.36,38.6,66,Needs Attention
12.84,1.75,27.7,58,Needs Attention
11.49,-0.5,39.3,100,Critical
12.24,-0.76,20.2,49,Needs Attention
10.54,0.91,24.8,17,Critical
11.72,-0.67,34.2,42,Needs Attention
12.12,1.78,47.3,20,Critical
12.38,-1.25,42.1,78,Critical
12.77,1.43,49.0,72,Critical
11.32,0.32,36.7,92,Critical
11.25,-0.31,27.8,17,Critical
10.9,-0.9,24.9,21,Critical
12.9,-0.87,27.3,33,Needs Attention
11.74,1.36,47.0,64,Critical
10.79,-1.15,35.9,90,Critical
12.3,-1.7,47.1,17,Critical
11.14,0.2,45.4,30,Critical
11.49,-0.99,28.9,8,Critical
11.11,1.73,30.6,51,Critical
10.5,1.26,27.6,26,Critical
11.27,-0.49,47.0,29,Critical
11.3,1.46,48.9,96,Critical
11.28,-0.21,35.4,24,Critical
12.9,-1.68,24.1,91,Healthy
10.73,-1.04,26.1,41,Critical
12.57,1.15,25.1,73,Healthy
11.52,-1.51,42.9,47,Critical
11.38,-1.31,31.6,54,Critical
12.86,-1.94,34.8,41,Needs Attention
12.9,-1.91,43.6,48,Critical
10.95,0.32,39.2,92,Critical
11.97,-1.47,23.1,30,Needs Attention
12.27,-1.47,21.8,100,Healthy
12.73,-1.22,47.3,60,Critical
10.75,-1.81,40.0,11,Critical
11.04,1.82,48.6,78,Critical
11.28,1.15,38.8,64,Critical
11.67,-1.84,21.6,91,Needs Attention
11.15,1.26,28.0,46,Critical
11.55,0.37,43.7,63,Critical
12.96,-1.34,38.8,10,Critical
12.12,-0.85,46.6,22,Critical
12.96,1.43,24.2,92,Healthy
12.5,0.2,41.5,40,Needs Attention
12.91,0.95,42.3,97,Critical
12.45,1.99,47.2,5,Critical
12.73,-0.78,41.2,13,Critical
12.82,-0.09,40.8,68,Needs Attention
10.6,0.35,26.2,20,Critical
11.58,-0.29,22.5,28,Needs Attention
11.17,1.64,45.1,91,Critical
12.43,-1.55,46.5,85,Critical
11.96,-1.62,33.9,10,Critical
12.42,0.69,42.0,98,Needs Attention
12.18,-1.06,34.5,23,Needs Attention
10.59,0.32,47.8,85,Critical
11.04,1.08,30.7,8,Critical
12.46,0.97,21.2,34,Needs Attention
11.12,0.18,35.2,13,Critical
11.94,0.88,20.9,90,Needs Attention
10.54,0.64,33.2,86,Critical
12.77,-1.86,42.8,98,Critical
12.76,-0.64,28.0,17,Critical
10.57,1.16,37.0,59,Critical
12.34,1.05,37.5,99,Needs Attention
11.65,-0.04,33.0,99,Needs Attention
11.56,-0.8,28.5,35,Needs Attention
11.18,-0.93,40.3,22,Critical
12.8,0.28,43.4,26,Critical
11.1,0.44,42.7,62,Critical
11.56,1.0,44.2,73,Critical
12.79,1.39,47.4,70,Critical
11.36,1.71,41.4,51,Critical
11.09,-1.87,25.7,9,Critical
12.29,0.07,28.7,25,Needs Attention
10.78,-0.67,24.1,61,Critical
11.73,-0.58,29.8,69,Needs Attention
11.1,0.54,24.0,66,Critical
11.98,-0.09,21.9,7,Critical
11.02,-1.74,47.2,92,Critical
12.12,1.09,40.1,60,Needs Attention
12.46,-0.09,27.3,57,Needs Attention
10.64,0.71,36.0,6,Critical
10.75,0.68,44.7,74,Critical
11.96,0.84,33.9,66,Needs Attention
12.06,-0.22,26.9,21,Needs Attention
12.18,-1.9,47.6,38,Critical
