Time,Voltage,Current,Temperature,SOC,Health Score,Prediction,Condition,Status
2026-08-20 19:59:01,12.8,1.0,25.0,80,100,Healthy,Healthy,☀️ CHARGING
2026-08-20 19:59:12,12.2,1.0,25.0,80,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:12,12.1,1.0,25.0,80,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:13,12.0,1.0,25.0,80,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:16,12.0,1.0,29.5,80,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:17,12.0,1.0,30.0,80,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:19,12.0,1.0,30.0,28,90,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:21,12.0,1.0,30.0,35,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:22,12.0,1.0,30.0,39,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:24,12.0,1.0,30.0,40,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:34,11.8,1.0,30.0,40,85,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 19:59:36,11.0,1.0,30.0,40,70,Critical,Critical,☀️ CHARGING
2026-08-20 19:59:38,11.0,1.0,31.5,40,70,Critical,Critical,☀️ CHARGING
2026-08-20 19:59:45,11.0,1.0,45.0,40,45,Critical,Critical,☀️ CHARGING
2026-08-20 19:59:47,11.0,1.0,45.0,15,25,Critical,Critical,☀️ CHARGING
2026-08-20 20:01:58,12.18,0.88,26.0,94,100,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 20:05:49,10.74,1.5,20.9,55,70,Critical,Critical,☀️ CHARGING
2026-08-20 20:07:57,12.34,0.58,27.7,13,80,Critical,Critical,☀️ CHARGING
2026-08-20 20:11:50,12.62,0.18,39.3,92,90,Needs Attention,Needs Attention,☀️ CHARGING
2026-08-20 20:12:06,11.47,-0.14,29.5,33,70,Critical,Critical,🔌 DISCHARGING
